feature_index,kernel_index,depth_offset,y_offset,x_offset,coefficient
19,17,0,1,1,-0.0011311210243269147
19,18,1,-1,-1,4.91249752999692e-05
19,19,1,-1,0,-0.00016413878710658396
19,20,1,-1,1,-5.478501511153575e-05
19,21,1,0,-1,-7.696735373878064e-05
19,22,1,0,0,-0.00019204994419142938
19,23,1,0,1,6.527348529269772e-05
19,24,1,1,-1,6.235117818724214e-05
19,25,1,1,0,-0.0001154006382985835
19,26,1,1,1,8.79322366110811e-05
20,0,-1,-1,-1,0.0005861824234992831
20,1,-1,-1,0,0.0006411127480400702
20,2,-1,-1,1,0.00044482389374368546
20,3,-1,0,-1,0.0007449068613649
20,4,-1,0,0,0.00035617432763359133
20,5,-1,0,1,0.000631672909634983
20,6,-1,1,-1,-0.0004982861428707069
20,7,-1,1,0,0.0004856087988445895
20,8,-1,1,1,-0.0007258268286033183
20,9,0,-1,-1,-0.00047524229148791666
20,10,0,-1,0,-0.0006670245992494591
20,11,0,-1,1,-0.00045186400256912694
20,12,0,0,-1,-0.00047035152076965183
20,13,0,0,0,0.0018904088446753534
20,14,0,0,1,-0.0003020690266847605
20,15,0,1,-1,0.00048568096410636055
20,16,0,1,0,-0.00027316643496592085
20,17,0,1,1,0.0005835049207289871
20,18,1,-1,-1,0.0005050302135404641
20,19,1,-1,0,9.882806752122141e-05
20,20,1,-1,1,0.00040172687917163814
20,21,1,0,-1,-0.00023461859689144057
20,22,1,0,0,-0.0023925029915158385
20,23,1,0,1,0.00010324835270019301
20,24,1,1,-1,-0.00047445969725676404
20,25,1,1,0,-0.00012167543824085206
20,26,1,1,1,-0.000772969409051959
21,0,-1,-1,-1,-0.00042036583174666424
21,1,-1,-1,0,0.00024621530627925466
21,2,-1,-1,1,0.00031245646481147974
21,3,-1,0,-1,-0.0003512944872931834
21,4,-1,0,0,0.0003736622468488475
21,5,-1,0,1,0.00014248083507160782
21,6,-1,1,-1,0.0002544326957088733
21,7,-1,1,0,-0.00043693327446192733
21,8,-1,1,1,0.00037562693925592857
21,9,0,-1,-1,-0.0002488458545983349
21,10,0,-1,0,-0.0017442719467679658
21,11,0,-1,1,0.00045685940880773983
21,12,0,0,-1,0.0007755429897050869
21,13,0,0,0,0.00024131952686284812
21,14,0,0,1,-0.0002396445267907835
21,15,0,1,-1,-0.000961962033256895
21,16,0,1,0,0.00056364642939316
21,17,0,1,1,0.0004344718016465245
21,18,1,-1,-1,-0.0003574646336747452
21,19,1,-1,0,0.0003561814994199761
21,20,1,-1,1,0.00022068702986000911
21,21,1,0,-1,-0.00029697132095838995
21,22,1,0,0,0.0008935217359603859
21,23,1,0,1,0.0002978734039679953
21,24,1,1,-1,0.00020697001634529998
21,25,1,1,0,-0.00035511853586383147
21,26,1,1,1,0.0003265408363988786
22,0,-1,-1,-1,0.00014995349263813008
22,1,-1,-1,0,0.0003677786100116023
22,2,-1,-1,1,-0.00015960014173093287
22,3,-1,0,-1,0.0005251555064671754
22,4,-1,0,0,-0.00029952852824019765
22,5,-1,0,1,0.0002979701058803016
22,6,-1,1,-1,2.4032722095255145e-07
22,7,-1,1,0,-0.00027332916813012993
22,8,-1,1,1,-0.0001529433955847071
22,9,0,-1,-1,-0.000795814149747131
22,10,0,-1,0,-0.0019144798686349918
22,11,0,-1,1,-0.0002643947276516423
22,12,0,0,-1,0.0007792665573003922
22,13,0,0,0,0.002388525036946852
22,14,0,0,1,-0.0008021731729574768
22,15,0,1,-1,0.0005668202017937705
22,16,0,1,0,0.00030794049549563897
22,17,0,1,1,-3.3580569009434304e-05
22,18,1,-1,-1,0.00020067582710145147
22,19,1,-1,0,0.00021310698858434063
22,20,1,-1,1,-0.00012434416766288426
22,21,1,0,-1,0.00043340702534199865
22,22,1,0,0,-1.941052743110523e-05
22,23,1,0,1,0.00028740627307528133
22,24,1,1,-1,-4.984526049143578e-06
22,25,1,1,0,-0.000252425601398014
22,26,1,1,1,-0.00014264091063704228
23,0,-1,-1,-1,-0.00012689695424780535
23,1,-1,-1,0,-0.0004278721050884491
23,2,-1,-1,1,-0.00012796937467298756
23,3,-1,0,-1,-3.666008851482357e-05
23,4,-1,0,0,0.0004664349865629151
23,5,-1,0,1,-8.412436832100765e-05
23,6,-1,1,-1,0.0002154663167294362
23,7,-1,1,0,0.00026267838931526814
