field_uid,rig_id,family,reserved_view,source_gain_vs_pbb9,reserved_gain_vs_pbb9,target_gain_vs_pbb9
fresh-budget-rig-a:tilted_flame_brush:1,fresh-budget-rig-a,tilted_flame_brush,3,0.008760894367231598,0.1269302874092202,0.060963311168804935
fresh-budget-rig-a:tilted_flame_brush:2,fresh-budget-rig-a,tilted_flame_brush,3,0.03768565613662034,0.028714843105133614,-0.012172826609017084
fresh-budget-rig-a:tilted_flame_brush:3,fresh-budget-rig-a,tilted_flame_brush,3,0.019290100750260275,0.04416853757479222,0.0250953056278852
fresh-budget-rig-a:tilted_flame_brush:4,fresh-budget-rig-a,tilted_flame_brush,3,0.028849126807799608,0.027578680691412116,0.0002915422520519684
fresh-budget-rig-a:tilted_flame_brush:5,fresh-budget-rig-a,tilted_flame_brush,3,0.03654207642735707,0.04355073192955483,0.02551842072001831
fresh-budget-rig-a:tilted_flame_brush:6,fresh-budget-rig-a,tilted_flame_brush,3,0.012921395915581724,0.06785139392049766,0.03793341936872674
fresh-budget-rig-a:tilted_flame_brush:7,fresh-budget-rig-a,tilted_flame_brush,3,-0.0003091189584893961,0.055359292406456095,0.038088544805498836
fresh-budget-rig-a:tilted_flame_brush:8,fresh-budget-rig-a,tilted_flame_brush,3,-0.008467907593489477,0.07413737819615518,0.062416478344875626
fresh-budget-rig-a:tilted_flame_brush:9,fresh-budget-rig-a,tilted_flame_brush,3,-0.0002982288416184531,0.08370665183629189,0.05635955314384411
fresh-budget-rig-a:tilted_flame_brush:10,fresh-budget-rig-a,tilted_flame_brush,3,0.01905450428799682,0.01694857573260755,-0.005577372551077264
fresh-budget-rig-a:tilted_flame_brush:11,fresh-budget-rig-a,tilted_flame_brush,3,0.02364964447142115,0.023706069770263127,0.019985133749107376
fresh-budget-rig-a:tilted_flame_brush:12,fresh-budget-rig-a,tilted_flame_brush,3,0.018204097124119634,0.0432883494274785,0.03568722527035828
fresh-budget-rig-a:tilted_flame_brush:13,fresh-budget-rig-a,tilted_flame_brush,3,0.03308055885903505,0.09984403432226974,0.04854701950575191
fresh-budget-rig-a:tilted_flame_brush:14,fresh-budget-rig-a,tilted_flame_brush,3,0.04295185647753175,0.041310561269528034,0.015509121856042918
fresh-budget-rig-a:tilted_flame_brush:15,fresh-budget-rig-a,tilted_flame_brush,3,0.02555578285912563,0.016011645003168207,0.014730484296474833
fresh-budget-rig-a:tilted_flame_brush:16,fresh-budget-rig-a,tilted_flame_brush,3,0.017279490511859952,0.05137544710412334,0.04456644146630695
fresh-budget-rig-a:tilted_flame_brush:17,fresh-budget-rig-a,tilted_flame_brush,3,0.013712933072700162,0.07097755167913233,0.059626102146804416
fresh-budget-rig-a:tilted_flame_brush:18,fresh-budget-rig-a,tilted_flame_brush,3,0.03215199830645277,0.00448322683044744,-0.012488844591023396
fresh-budget-rig-a:tilted_flame_brush:19,fresh-budget-rig-a,tilted_flame_brush,3,0.0002551821108345287,0.10797844806608714,0.07925583825125682
fresh-budget-rig-a:pulsed_toroidal_plume:0,fresh-budget-rig-a,pulsed_toroidal_plume,3,0.007945422840622274,0.003155019163097017,0.01747862572596981
